timestamp,distance,heart_rate,cadence,fractional_cadence,key
2018-12-17T21:56:09Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:56:10Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:56:11Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:56:12Z,0,100,0,0,2018-12-17 21:49:43
2018-12-17T21:56:13Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:56:14Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:56:15Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:56:16Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:56:17Z,0,97,0,0,2018-12-17 21:49:43
2018-12-17T21:56:18Z,0,96,0,0,2018-12-17 21:49:43
2018-12-17T21:56:19Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:20Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:56:21Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:56:22Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:23Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:24Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:25Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:56:26Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:56:27Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:28Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:29Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:30Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:31Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:32Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:33Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:56:34Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:56:35Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:36Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:37Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:38Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:39Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:56:40Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:56:41Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:42Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:43Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:44Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:45Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:56:46Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:47Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:56:48Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:49Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:50Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:51Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:52Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:53Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:56:54Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:56:55Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:56Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:56:57Z,0,96,0,0,2018-12-17 21:49:43
2018-12-17T21:56:58Z,0,96,0,0,2018-12-17 21:49:43
2018-12-17T21:56:59Z,0,96,0,0,2018-12-17 21:49:43
2018-12-17T21:57:00Z,0,96,0,0,2018-12-17 21:49:43
2018-12-17T21:57:01Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:02Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:03Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:57:04Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:05Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:06Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:07Z,0,96,0,0,2018-12-17 21:49:43
2018-12-17T21:57:08Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:09Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:10Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:57:11Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:12Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:57:13Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:57:14Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:57:15Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:57:16Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:17Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:18Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:19Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:20Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:21Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:22Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:23Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:24Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:57:25Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:26Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:27Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:28Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:29Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:30Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:57:31Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:57:32Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:33Z,0,95,58,0.5,2018-12-17 21:49:43
2018-12-17T21:57:34Z,0,97,58,0.5,2018-12-17 21:49:43
2018-12-17T21:57:35Z,0,97,0,0,2018-12-17 21:49:43
2018-12-17T21:57:36Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:57:37Z,0,100,0,0,2018-12-17 21:49:43
2018-12-17T21:57:38Z,0,100,0,0,2018-12-17 21:49:43
2018-12-17T21:57:39Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:57:40Z,0,99,0,0,2018-12-17 21:49:43
2018-12-17T21:57:41Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:57:42Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:57:43Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:57:44Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:57:45Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:57:46Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:57:47Z,0,97,0,0,2018-12-17 21:49:43
2018-12-17T21:57:48Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:49Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T21:57:50Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:51Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:57:52Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:57:53Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:57:54Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:55Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:57:56Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:57:57Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:57:58Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:57:59Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:58:00Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:58:01Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:58:02Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:58:03Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:58:04Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:58:05Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:58:06Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:58:07Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:58:08Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:58:09Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T21:58:10Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T21:58:11Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T21:58:12Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T21:58:13Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T21:58:14Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T21:58:15Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T21:58:16Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:58:17Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:58:18Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:58:19Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T21:58:20Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T21:58:21Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T21:58:22Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:23Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:24Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:25Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:26Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:27Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:28Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T21:58:29Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:30Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:31Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:32Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:33Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:34Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:35Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:36Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:37Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:38Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:39Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T21:58:40Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:41Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:58:42Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:43Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:44Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:45Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:46Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:47Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:48Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:49Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:50Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:51Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:52Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:58:53Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:54Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:58:55Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:58:56Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:58:57Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:58:58Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:58:59Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:00Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:01Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:02Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:03Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:04Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:05Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:59:06Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:59:07Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:59:08Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:59:09Z,0,87,0,0,2018-12-17 21:49:43
2018-12-17T21:59:10Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:11Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:12Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:13Z,0,84,0,0,2018-12-17 21:49:43
2018-12-17T21:59:14Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:15Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:16Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:17Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:18Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:19Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:20Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:21Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:22Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:23Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:24Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:25Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:26Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:27Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:28Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:29Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:30Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:31Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:32Z,0,84,0,0,2018-12-17 21:49:43
2018-12-17T21:59:33Z,0,84,0,0,2018-12-17 21:49:43
2018-12-17T21:59:34Z,0,84,0,0,2018-12-17 21:49:43
2018-12-17T21:59:35Z,0,84,0,0,2018-12-17 21:49:43
2018-12-17T21:59:36Z,0,84,0,0,2018-12-17 21:49:43
2018-12-17T21:59:37Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:38Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:39Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:40Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:41Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:42Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:43Z,0,85,0,0,2018-12-17 21:49:43
2018-12-17T21:59:44Z,0,86,0,0,2018-12-17 21:49:43
2018-12-17T21:59:45Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T21:59:46Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T21:59:47Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T21:59:48Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T21:59:49Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T21:59:50Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T21:59:51Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T21:59:52Z,0,96,0,0,2018-12-17 21:49:43
2018-12-17T21:59:53Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:59:54Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:59:55Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:59:56Z,0,98,0,0,2018-12-17 21:49:43
2018-12-17T21:59:57Z,0,97,0,0,2018-12-17 21:49:43
2018-12-17T21:59:58Z,0,97,0,0,2018-12-17 21:49:43
2018-12-17T21:59:59Z,0,97,0,0,2018-12-17 21:49:43
2018-12-17T22:00:00Z,0,96,0,0,2018-12-17 21:49:43
2018-12-17T22:00:01Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:02Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:03Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:04Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:05Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:00:06Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:00:07Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:08Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:09Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:10Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:11Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:12Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:13Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:00:14Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:15Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:16Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:17Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:18Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:19Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:20Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:21Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:22Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:00:23Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:24Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:25Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:26Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:27Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:28Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:29Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:30Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:31Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:32Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:33Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:34Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:35Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:36Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:37Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:38Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:39Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:40Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T22:00:41Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T22:00:42Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:00:43Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:00:44Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:00:45Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:46Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:47Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:48Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:49Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:00:50Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:51Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:00:52Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:53Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:54Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:55Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:56Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:57Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:58Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:00:59Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:00Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:01Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:02Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:03Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:04Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:05Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:06Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:07Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:08Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:09Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:10Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:11Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:12Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:13Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:14Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:15Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:16Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:17Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:18Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:19Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:20Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:21Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:22Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:23Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:24Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:25Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:26Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:27Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:28Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:29Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:30Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:31Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:32Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:33Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:34Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:35Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:36Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:37Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:38Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:39Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:40Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:41Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:42Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:43Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:01:44Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:01:45Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:01:46Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:47Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:48Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:49Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:50Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:51Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:52Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:53Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:54Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:01:55Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:56Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:57Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:01:58Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:01:59Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:02:00Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:02:01Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:02:02Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:02:03Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:02:04Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:02:05Z,0,92,0,0,2018-12-17 21:49:43
2018-12-17T22:02:06Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:02:07Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:02:08Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:02:09Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:02:10Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:02:11Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:02:12Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:02:13Z,0,91,0,0,2018-12-17 21:49:43
2018-12-17T22:02:14Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:02:15Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:02:16Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:02:17Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T22:02:18Z,0,88,0,0,2018-12-17 21:49:43
2018-12-17T22:02:19Z,0,89,0,0,2018-12-17 21:49:43
2018-12-17T22:02:20Z,0,90,0,0,2018-12-17 21:49:43
2018-12-17T22:02:21Z,0,90,58,0.5,2018-12-17 21:49:43
2018-12-17T22:02:22Z,0,92,58,0.5,2018-12-17 21:49:43
2018-12-17T22:02:23Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:02:24Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:02:25Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:02:26Z,0,93,0,0,2018-12-17 21:49:43
2018-12-17T22:02:27Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:02:28Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:02:29Z,0,94,0,0,2018-12-17 21:49:43
2018-12-17T22:02:30Z,0,95,0,0,2018-12-17 21:49:43
2018-12-17T22:02:31Z,0,96,0,0,2018-12-17 21:49:43
